DesignName,ParticipantID,TrialID,Block1,Block2,OC,VV,Errors,ExeTime
"Preattentive experiment","4","136","1","1","Medium","Shape",0,838
"Preattentive experiment","4","137","1","2","Medium","Width_Shape",0,2676
"Preattentive experiment","4","138","1","2","Medium","Width_Shape",0,1631
"Preattentive experiment","4","139","1","3","Medium","Width",0,566
"Preattentive experiment","4","140","1","4","Medium","Width_Shape",0,1801
"Preattentive experiment","4","141","1","5","Medium","Shape",0,559
"Preattentive experiment","4","142","1","6","Medium","Width",0,497
"Preattentive experiment","4","143","1","7","Medium","Width_Shape",0,1515
"Preattentive experiment","4","144","1","8","Medium","Width",0,473
"Preattentive experiment","4","145","1","9","Medium","Width_Shape",0,783
"Preattentive experiment","4","146","1","10","Medium","Shape",0,673
"Preattentive experiment","4","147","1","10","Medium","Shape",0,636
"Preattentive experiment","4","148","1","11","Medium","Width",0,507
"Preattentive experiment","4","149","1","12","Medium","Shape",0,506
"Preattentive experiment","4","150","1","13","Medium","Width",0,601
"Preattentive experiment","4","151","2","1","Low","Shape",0,1077
"Preattentive experiment","4","152","2","2","Low","Width_Shape",0,1063
"Preattentive experiment","4","153","2","2","Low","Width_Shape",0,843
"Preattentive experiment","4","154","2","3","Low","Width",0,577
"Preattentive experiment","4","155","2","4","Low","Width_Shape",0,1094
"Preattentive experiment","4","156","2","5","Low","Shape",0,596
"Preattentive experiment","4","157","2","6","Low","Width",0,546
"Preattentive experiment","4","158","2","7","Low","Width_Shape",1,1093
"Preattentive experiment","4","159","2","8","Low","Width",0,659
"Preattentive experiment","4","160","2","9","Low","Width_Shape",0,916
"Preattentive experiment","4","161","2","10","Low","Shape",0,592
"Preattentive experiment","4","162","2","10","Low","Shape",0,577
"Preattentive experiment","4","163","2","11","Low","Width",0,552
"Preattentive experiment","4","164","2","12","Low","Shape",0,813
"Preattentive experiment","4","165","2","13","Low","Width",0,700
"Preattentive experiment","4","166","3","1","High","Shape",0,800
"Preattentive experiment","4","167","3","2","High","Width_Shape",0,1321
"Preattentive experiment","4","168","3","2","High","Width_Shape",0,2426
"Preattentive experiment","4","169","3","3","High","Width",0,699
"Preattentive experiment","4","170","3","4","High","Width_Shape",0,3276
"Preattentive experiment","4","171","3","5","High","Shape",0,622
"Preattentive experiment","4","172","3","6","High","Width",0,1096
"Preattentive experiment","4","173","3","7","High","Width_Shape",0,1595
"Preattentive experiment","4","174","3","8","High","Width",0,632
"Preattentive experiment","4","175","3","9","High","Width_Shape",0,2187
"Preattentive experiment","4","176","3","10","High","Shape",0,591
"Preattentive experiment","4","177","3","10","High","Shape",0,629
"Preattentive experiment","4","178","3","11","High","Width",0,559
"Preattentive experiment","4","179","3","12","High","Shape",0,620
"Preattentive experiment","4","180","3","13","High","Width",0,625
